Emelet | Dolgozók száma
1. Emelet | 11 dolgozó
2. Emelet | 10 dolgozó
3. Emelet | 12 dolgozó
4. Emelet | 10 dolgozó
5. Emelet | 10 dolgozó
6. Emelet | 8 dolgozó
7. Emelet | 10 dolgozó
8. Emelet | 9 dolgozó
9. Emelet | 9 dolgozó
10. Emelet | 10 dolgozó
11. Emelet | 10 dolgozó
12. Emelet | 12 dolgozó
13. Emelet | 12 dolgozó
14. Emelet | 10 dolgozó
15. Emelet | 10 dolgozó
16. Emelet | 11 dolgozó
17. Emelet | 12 dolgozó
18. Emelet | 10 dolgozó
19. Emelet | 12 dolgozó
20. Emelet | 11 dolgozó
21. Emelet | 11 dolgozó
22. Emelet | 10 dolgozó
23. Emelet | 8 dolgozó
24. Emelet | 10 dolgozó
25. Emelet | 8 dolgozó
